"numero_zona","sigla_uf","endereco","cep","bairro","nome_municipio","sigla_uf"
"001","01-0001","FÓRUM ELEITORAL, BR 364, KM 02, ALAMEDA MIN. MIGUEL FERRANTE, S/N","69915632","PORTAL DA AMAZONIA","RIO BRANCO","AC"
"002","01-0002","RUA CORONEL BRANDÃO, 1972","69930000","AEROPORTO","XAPURI","AC"
"003","01-0003","RUA CUNHA VASCONCELOS, 659","69940000","CENTRO","SENA MADUREIRA","AC"
"004","01-0004","AV. 25 DE AGOSTO, 4661 - AEROPORTO VELHO","69980000","AEROPORTO VELHO","CRUZEIRO DO SUL","AC"
"005","01-0005","RUA FLORIANO PEIXOTO, 160","69970000","CENTRO","TARAUACÁ","AC"
"006","01-0006","AV.  RUI LINO,  N. 1128 - CENTRO","69932000","CENTRO","BRASILÉIA","AC"
"007","01-0007","RUA CORNELIO DE OLIVEIRA LIMA, 81","69960000","CIDADE NOVA","FEIJÓ","AC"
"008","01-0008","RUA 03 DE MAIO, 1.397","69925000","CENTRO","SENADOR GUIOMARD","AC"
"009","01-0009","RUA MINISTRO ILMAR GALVÃO, CENTRO ADMINISTRATIVO ESTADUAL, BR 364 KM 2","69914220","DISTRITO INDUSTRIAL","RIO BRANCO","AC"
