"numero_zona","sigla_uf","endereco","cep","bairro","nome_municipio","sigla_uf"
"050","15-0050","RUA PROFESSOR JOÃO RODRIGUES, S/N","58150000","CENTRO","POCINHOS","PB"
"037","15-0037","RUA PROJETADA","58910000","BAIRRO DAS POPULARES","SÃO JOÃO DO RIO DO PEIXE","PB"
"025","15-0025","RUA RAIMUNDO SALES DE MELO, 121","58187000","CENTRO","PICUÍ","PB"
"058","15-0058","RUA RAUL DA COSTA LEAO,122","58580000","CENTRO","SERRA BRANCA","PB"
"017","15-0017","RUA RIO GRANDE DO SUL, S/N","58414025","LIBERDADE","CAMPINA GRANDE","PB"
"016","15-0016","RUA RIO GRANDE DO SUL S/N - COMPLEXO JUDICIARIO","58414025","LIBERDADE","CAMPINA GRANDE","PB"
"024","15-0024","RUA SAMUEL FURTADO, S/N","58175000","CENTRO","CUITÉ","PB"
"034","15-0034","RUA SAO ROQUE, 210, CENTRO","58755000","CENTRO","PRINCESA ISABEL","PB"
"075","15-0075","RUA SETE DE SETEMBRO, 04","58356000","CENTRO","GURINHÉM","PB"
"027","15-0027","RUA SOLON DE LUCENA, S/N","58680000","BAIRRO DO ALTO","TAPEROÁ","PB"
"055","15-0055","RUA TENENTE JOSÉ DE FRANCA S/N","58297000","CENTRO","RIO TINTO","PB"
"068","15-0068","RUA VALDENEZ PEREIRA SOUSA, S/N (ANEXO AO FÓRUM)","58900000","CENTRO","CAJAZEIRAS","PB"
"023","15-0023","RUA VENÂNCIO MARTINS SAMPAIO, S/N (FÓRUM)","58155000","JARDIM CRUZEIRO","SOLEDADE","PB"
"032","15-0032","RUA VIRGILIO DE ARAÚJO SILVA, SN","58765000","JARDIM OURO BRANCO","PIANCÓ","PB"
"066","15-0066","RUA VIRGILIO DE ARAÚJO SILVA, SN","58765000","JARDIM OURO BRANCO","PIANCÓ","PB"
